flight_id,source_file,channel,count,missing_count,missing_pct,min,max,mean,median,std,p25,p75,is_constant,impossible_value_flag
FLIGHT_02,log_220417_125002_LFQA.csv,E1 CHT4,2836,1,0.035,68.74,357.52,268.56,301.75,68.54,247.6,307.81,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 CHT5,2836,1,0.035,66.6,367.49,276.82,312.82,73.67,245.42,327.11,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 CHT6,2836,1,0.035,69.25,364.52,269.73,302.98,69.53,246.37,308.29,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 EGT1,2836,1,0.035,67.48,1531.49,1256.28,1310.49,310.61,1067.32,1498.96,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 EGT2,2836,1,0.035,68.11,1565.82,1276.3,1330.22,323.78,1065.91,1535.41,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 EGT3,2836,1,0.035,67.16,1545.29,1262.4,1324.39,314.54,1070.28,1508.42,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 EGT4,2836,1,0.035,68.2,1533.69,1268.9,1319.24,304.74,1118.63,1497.02,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 EGT5,2836,1,0.035,67.28,1547.85,1283.2,1327.09,306.38,1126.65,1521.95,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 EGT6,2836,1,0.035,68.86,1508.47,1254.17,1311.82,303.77,1086.6,1481.73,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 TIT1,2836,1,0.035,67.37,1568.65,1268.85,1339.1,339.58,1023.16,1546.96,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,E1 TIT2,2836,1,0.035,65.13,1594.16,1283.08,1355.86,342.3,1031.5,1562.1,False,False
FLIGHT_02,log_220417_125002_LFQA.csv,AltMSL,2760,1,0.035,291.2,4534.3,2788.49,4201.7,1890.98,359.8,4512.8,False,False
