timestamp,time_seconds,rpm,map_kpa,altitude_m,airspeed_mps,health_score,anomaly_score,predicted_fault,fault_probability,predicted_cylinder,scenario_rul_sec,scenario_rul_lower_sec,scenario_rul_upper_sec,remaining_mission_sec,p_mission_success,p_rtb_safe,risk_level,decision,action_protocol,egt_1_c,cht_1_c,expected_egt_1_c,expected_cht_1_c,residual_egt_1_c,residual_cht_1_c,egt_2_c,cht_2_c,expected_egt_2_c,expected_cht_2_c,residual_egt_2_c,residual_cht_2_c,egt_3_c,cht_3_c,expected_egt_3_c,expected_cht_3_c,residual_egt_3_c,residual_cht_3_c,egt_4_c,cht_4_c,expected_egt_4_c,expected_cht_4_c,residual_egt_4_c,residual_cht_4_c
2022-04-17 13:31:02,2541.0,2471.7,48.56081826,394.83792000000005,44.689750280000005,0.0,1.0,FT-02_INJECTOR_CLOGGING,0.5520578106358981,0,203.43106448682903,0.0,2290.5398755568694,4659.0,0.0,0.027,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,675.6999999999999,106.91666666666666,713.0565756560138,118.56888563301395,-37.35657565601389,-11.652218966347291,537.1277777777777,113.48333333333332,721.685613222167,117.94117812855244,-184.5578354443893,-4.457844795219117,677.4888888888889,114.47777777777776,719.8412862087953,123.2318885900126,-42.352397319906345,-8.754110812234842,687.9944444444445,110.70555555555556,716.1056051474292,120.2640974816731,-28.111160702984648,-9.558541926117542
2022-04-17 13:31:03,2542.0,2475.7,48.45922659,393.8016,44.9366834,0.0,1.0,FT-02_INJECTOR_CLOGGING,0.5538983190215838,0,132.03423594225723,0.0,2290.9225425785708,4658.0,0.0,0.012,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,676.4888888888889,107.07777777777778,713.8876641667185,118.36849391308726,-37.3987752778296,-11.29071613530948,537.0333333333334,113.64444444444445,722.697884008114,117.80992907660918,-185.66455067478057,-4.165484632164734,678.3222222222222,114.61111111111111,720.7456227084449,123.10115983274308,-42.423400486222704,-8.490048721631965,689.3222222222222,110.84444444444443,717.0669867370323,120.13302088590854,-27.744764514810072,-9.288576441464102
2022-04-17 13:31:04,2543.0,2478.7,49.27195995,392.36904,45.07043884,0.0,1.0,FT-02_INJECTOR_CLOGGING,0.5541163157919877,0,124.91461113915253,0.0,2290.9225425785708,4657.0,0.0,0.005,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,677.15,107.22777777777776,718.8405820255415,118.85410968714474,-41.69058202554152,-11.626331909366982,537.6444444444444,113.83333333333331,727.8372231000615,118.27368143778973,-190.19277865561708,-4.440348104456419,678.7611111111111,114.77222222222224,726.5573989476369,123.53685895428592,-47.796287836525835,-8.764636732063678,689.8000000000001,110.98333333333332,721.3970863197593,120.56832455850942,-31.597086319759228,-9.584991225176097
2022-04-17 13:31:05,2544.0,2469.7,49.74605441,390.23544,44.7823502,0.0,1.0,FT-02_INJECTOR_CLOGGING,0.5160461835719805,0,143.5581762995384,0.0,2320.3454693722265,4656.0,0.0,0.007,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,678.4777777777778,107.39444444444445,720.2710375336843,119.62390599430674,-41.79325975590655,-12.229461549862293,538.4666666666667,114.0222222222222,728.8625531981024,118.93383509527084,-190.39588653143574,-4.9116128730486395,680.05,114.92777777777778,728.2317514346885,124.14761493401855,-48.18175143468852,-9.219837156240771,690.6055555555555,111.12222222222222,722.0341481676396,121.13796626757232,-31.428592612084117,-10.015744045350104
2022-04-17 13:31:06,2545.0,2475.2,50.96515445,388.0104,44.20617292000001,0.0,1.0,FT-02_INJECTOR_CLOGGING,0.51602281429139,0,109.41308180543712,0.0,2328.8608822047554,4655.0,0.0,0.006,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,679.5555555555555,107.55,726.7866897776726,119.7114063079933,-47.23113422211702,-12.161406307993303,538.911111111111,114.20555555555556,735.710700564573,118.84313007940307,-196.79958945346198,-4.637574523847505,681.4277777777777,115.06666666666666,735.9196964226957,124.11716508124051,-54.49191864491797,-9.050498414573852,691.4666666666667,111.26666666666668,727.8448106794829,121.17127915207027,-36.378144012816165,-9.90461248540359
2022-04-17 13:31:07,2546.0,2480.8,56.95906298,385.96824,43.856351,0.0,1.0,FT-02_INJECTOR_CLOGGING,0.5570209187084196,0,144.51795729637928,0.0,2314.094278339766,4654.0,0.0,0.015,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,681.8333333333333,107.72222222222224,744.335491278327,123.40465786546044,-62.50215794499377,-15.682435643238193,539.9777777777778,114.4111111111111,753.8518320528736,122.0499100488141,-213.8740542750959,-7.638798937703001,684.2833333333333,115.2388888888889,757.1978025461665,127.22088379695514,-72.91446921283318,-11.981994908066241,693.5722222222222,111.41666666666669,743.0436730594004,124.26974014222787,-49.47145083717817,-12.853073475561189
2022-04-17 13:31:08,2547.0,2481.7,62.44501316,383.8956,43.49109576000001,0.0,1.0,FT-02_INJECTOR_CLOGGING,0.5477210312778208,0,156.81089219254028,0.0,2031.3509671926836,4653.0,0.0,0.021,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,684.9055555555555,107.88888888888889,753.2580758825043,127.0413616904877,-68.35252032694882,-19.15247280159882,542.8555555555556,114.59444444444443,762.8189921189655,125.19033027916815,-219.9634365634099,-10.595885834723717,688.5055555555555,115.3722222222222,768.0803797236174,130.4076929604512,-79.57482416806192,-15.03547073822898,696.0777777777778,111.57222222222222,750.8945393684266,127.37692866190295,-54.816761590648866,-15.804706439680729
2022-04-17 13:31:09,2548.0,2472.0,65.0186688,381.82296,43.89236208,0.0,1.0,FT-02_INJECTOR_CLOGGING,0.5443906803201021,0,420.6861758210151,0.0,2143.068008558842,4652.0,0.004,0.153,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,688.8333333333334,108.06666666666666,751.0031224189149,129.33999579639925,-62.169789085581556,-21.273329129732588,546.8111111111111,114.81666666666666,760.479289741263,127.49756904423114,-213.66817863015183,-12.680902377564479,694.4666666666666,115.5611111111111,765.8983843451991,132.47010701796268,-71.43171767853255,-16.908995906851572,699.95,111.7277777777778,748.3263989132626,129.27529933050695,-48.376398913262506,-17.54752155272915
2022-04-17 13:31:10,2549.0,2463.3,61.05659367,379.87224,43.42421804,0.0,1.0,HEALTHY,0.7565968468585186,0,273.49925503802723,0.0,2062.8504944042074,4651.0,0.003,0.068,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,690.9666666666667,108.25555555555556,732.0766287410314,126.94391007800436,-41.10996207436472,-18.688354522448805,549.8555555555555,115.05,741.2092525990539,125.31432515944763,-191.3536970434984,-10.264325159447637,698.3333333333334,115.71666666666664,744.5930391955427,130.31315178050392,-46.25970586220933,-14.596485113837275,701.8722222222221,111.90555555555557,731.0379303209704,127.18593637709863,-29.16570809874827,-15.280380821543062
2022-04-17 13:31:11,2550.0,2472.1,59.97294919,378.19584,44.14443964,0.0,1.0,HEALTHY,0.7562484275292614,0,178.35024313950163,0.0,2048.6511673480622,4650.0,0.0,0.025,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,692.4722222222223,108.46111111111112,730.881370665826,126.26359443221745,-38.409148443603726,-17.802483321106322,550.1888888888889,115.3,740.1157346753233,124.77115375839976,-189.92684578643446,-9.471153758399765,700.3777777777779,115.93333333333334,743.2070452209213,129.8384008307413,-42.82926744314341,-13.90506749740797,702.438888888889,112.07777777777778,730.5374371892843,126.73568218633173,-28.09854830039535,-14.657904408553946
